Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,5 065,2 879,"56,8%"
Nord-Kivu,1 130,589,"52,1%"
Sud-Kivu,80,80,"100,0%"
Total,6 275,3 548,"56,5%"
