Date,Provenance ZS,Nombre échantillons testés,Natures d'échant Sang,Natures d'échant Swab,Reprélèvem ent,Positifs Sang,Positifs Swab,Négatifs Sang,Négatifs Swab,Indéterminés Sang,Indéterminés Swab
21/05/2026,Bunia,11,10,1,0,5,1,5,0,0,0
21/05/2026,Rwampara,8,7,1,0,6,1,1,0,0,0
21/05/2026,Nyakunde,15,15,0,0,2,0,13,0,0,0
21/05/2026,Mongbwalu,1,1,0,0,1,0,0,0,0,0
21/05/2026,Bambu-mine,1,1,0,0,0,0,1,0,0,0
21/05/2026,Nizi,1,1,0,0,1,0,0,0,0,0
TOTAL,TOTAL,37,35,2,0,15,2,20,0,0,0
