Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,92 %,100 %,"55,5 %",83 %,64 %,ND,"86,3 %"
% des PoE/PoC stratégiques fonctionnels,"9,1 %",NA,NA,NA,NA,NA,"9,1 %"
Nombre de personnes passées aux PoE/PoC,128 085,85 790,8 848,14 924,11 832,5 690,255 169
% des voyageurs screenés,"98,0 %","98,0 %","98,9 %","99,0 %","98,0 %","98,0 %","98,1 %"
% des voyageurs ayant lavé les mains,"98,0 %","98,0 %","98,9 %","99,0 %","98,0 %",ND,"98,1 %"
% des voyageurs sensibilisés,"99,0 %","98,0 %",100 %,100 %,"98,0 %",ND,"98,7 %"
Nombre d’alertes notifiées,2,5,0,0,0,3,10
Nombre d’alertes vivantes validées (cas suspects),1,4,0,0,0,0,5
Nombre de corps sans vie interceptés ce jour,1,0,0,0,0,0,1
% des cas suspects transférés au CT/CTE,100 %,100 %,NA,NA,NA,NA,100 %
% des corps sans vie swabés/sécurisés,0 %,NA,NA,NA,NA,NA,0 %
% des cas suspects investigués dans 24 h,100 %,100 %,NA,NA,NA,NA,100 %
