Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Report (J-1),19,0,0,19
Nouvelles Alertes,637,852,8,1497
Total Alertes du jour,656,852,8,1516
Alertes investiguées,425,852,8,1285
Taux d'investigation,"64,8%","100,0%","100,0%","84,8%"
Alertes validées Vivantes,160,43,5,208
Alertes validées Décédées,65,26,0,91
Total des cas suspects du jour,225,69,5,299
