Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,146,236,12,394
Alertes investiguées,133,215,11,359
Taux d'investigation,"91,1%","91,1%","91,7%","91,1%"
Alertes validées,104,44,5,153
