Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (16/16),100 % (9/9),"21,1 % (4/19)",ND,"85,6 %*"
Nombre de personnes passées aux PoE/PoC,102 561,59 834,83 848,ND,ND,246 243
% des voyageurs screenés,"96,9 %","97,4 %",100 %,ND,ND,"98,1 %*"
% des voyageurs ayant lavé les mains,"96,5 %","97,4 %",100 %,ND,ND,"97,9 %*"
% des voyageurs sensibilisés,"99,5 %","97,4 %",100 %,ND,ND,"99,1 %*"
Nombre d'alertes notifiées,4,2,0,ND,0,6
Nombre d'alertes vivantes validées,2,1,0,ND,0,3
Nombre de corps sans vie interceptés ce jour,1,1,0,ND,0,2
Nombre de contacts à problème interceptés ce jour,0,0,0,ND,0,0
% d'alertes vivantes validées référées au CT/CTE,0 % (0/2),100 % (1/1),0,ND,0,"33,3 % (1/3)"
% des corps sans vie swabés,100 % (1/1),ND,0,ND,0,ND
Nombre de résultat positif des cas suspects référés,0,0,0,ND,0,0
