Indicateur,Valeur
Cas confirmés Ebola,8
Échantillons à reprendre,4
Cas suspects/probables estimés,246
Décès hospitaliers HGR Mongbwalu,55
Décès communautaires Mongbwalu,2
Personnel de santé décédé,≥4
Contacts identifiés,≥82
ZS affectées,3
