Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,153,290,7,450
Alertes investiguées,116,290,7,413
Taux d'investigation,"75,8%","100,0%","100,0%","91,8%"
Alertes validées Vivantes,24,34,1,59
Alertes validées Décédées,9,26,0,35
Total des cas suspects du jour,33,60,1,94
