Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,10 183,7 957,"78,1 %"
Nord-Kivu,2 360,2 163,"91,7 %"
Tshopo,150,75,"50,0 %"
Haut-Uélé,ND,ND,ND
Sud-Kivu (fin de suivi),0,0,NA
Total,12 693,10 195,"80,3 %"
