DPS,Nouvelles Alertes Reçues Vivants,Nouvelles Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Haut-Uélé,14,5,19,14,5,0,0,19,14
Bas Uélé,16,4,20,5,4,11,0,9,0
Ituri,788,76,864,134,70,401,2,204,120
Nord-Kivu,932,64,996,97,63,814,1,160,71
Sud-Kivu,4,0,4,0,0,4,0,0,0
Tshopo,130,0,130,8,0,122,0,8,8
Total Général,1884,149,2 033,258,142,1352,3,400,213
