Health zone,PoE/PoC,Passed,Screened,Total hand washing,Sensitized,Alerts,Refus mains,Refus screening
Nizi,PONT NIZI,0,0,0,0,0,0,0
NA,AEROPORT,189,189,189,189,0,0,0
BUNIA,MUDZIBALA,355,355,355,355,0,0,0
NA,PONT SIMBILIABO,0,0,0,0,0,0,0
RWAMPARA,PONT SHARI,0,0,0,0,0,0,0
NA,DELE,102,102,102,102,0,0,0
NA,CHAI,0,0,0,0,0,0,0
TCHOMIA,TCHOMIA,105,105,105,0,0,0,0
NA,NYAMUSASI,0,0,0,0,0,0,0
NA,KASENYI,186,186,186,186,0,0,0
NA,MANDJE,0,0,0,0,0,0,0
NA,MARABO,0,0,0,0,0,0,0
NYAKUNDE,ENTREE NYAK.,0,0,0,0,0,0,0
NA,SOTA,0,0,0,0,0,0,0
NA,PONT TALOLO,0,0,0,0,0,0,0
NA,POIPO,0,0,0,0,0,0,0
NA,MAHIDEDE,0,0,0,0,0,0,0
MUNGWALU,PONT PLITO,0,0,0,0,0,0,0
NA,PONT KIRIKOU,0,0,0,0,0,0,0
ARU,OFOO,195,195,195,195,0,0,0
NA,ODHUMONI,146,146,146,146,0,0,0
NA,OMBAYI,253,253,253,253,0,0,0
NA,SANS PLAINTE,124,124,124,124,0,0,0
MAHAGI,ANZIDHA,184,184,184,184,0,0,0
TOTAL,NA,1881,1881,1881,1881,0,0,0
