N°,Défis,Impact,Action requise
1,Réticence aux prélèvements post-mortem (swabs),"Retard de confirmation, sous-estimation des cas","Engagement communautaire intensif, implication des leaders religieux"
2,Capacité insuffisante en CTE normés,Saturation potentielle des CTE existants,Accélération de la construction des CTE planifiés
3,"Faiblesse du suivi des contacts (taux global 55,5 %, cible 95 %)",Interruption des chaînes de transmission compromise,"Formation, déploiement et motivation des relais communautaires"
4,147 résultats de laboratoire en attente au Nord-Kivu (délai > 5 jours),Retard de confirmation et de prise en charge,"Renforcement de la chaîne d'acheminement, activation PCR RADIONE"
5,Rupture d'intrants PCI et tubes de prélèvement au Nord-Kivu,Risque nosocomial élevé,Approvisionnement urgent
6,"20 évasions de patients (2 confirmés, 17 suspects Ituri + 1 confirmé Sud-Kivu)","Propagation communautaire, défiance envers la riposte","Sécurisation des CTE, engagement communautaire"
7,"Insécurité persistante (ADF, groupes armés)","Zones non couvertes, retards de détection",Coordination sécuritaire renforcée
8,Défaut d'approvisionnement en MEG dans les HGR ciblés,Fragilisation de la prise en charge globale,Plaidoyer pour la dotation en MEG
9,Insuffisance des ressources financières,Ralentissement des opérations,Mobilisation urgente des ressources
10,"Incidents contre les équipes EDS (Katana, Mongbwalu, Bunia)","Abandon des corps, risque de nouvelles chaînes de transmission","Dialogue communautaire, sécurité des équipes"
