Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,5 309,3 856,"72,6%"
Nord-Kivu,1 467,974,"66,4%"
Sud-Kivu,80,80,"100,0%"
Total,6 856,4 910,"71,6%"
