Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),6,36,59,ND,ND,101
Nouvelles alertes reçues,587,614,1,ND,ND,1202
Total alertes du jour,593,650,60,ND,ND,1303
Alertes investiguées,482,596,0,ND,ND,1078
Taux d'investigation (24 h),"81,3%","91,7%","0,0%",ND,ND,"82,7%"
Alertes validées — vivantes,168,46,2,ND,ND,216
Alertes validées — décédées (comm.),74,35,1,ND,ND,110
Total cas suspects du jour,242,81,3,ND,ND,326
