Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"8 (15,4%)",ND
Cas confirmés en cours de suivi,"136 (45,2%)",ND
Nouveaux cas suspects,"20 (12,0%)",ND
Cas suspects en cours de suivi,"90 (40,5%)",ND
Résultats de laboratoire annoncés (dont positifs),36 (8),ND
Enfants séparés — crèche / communauté,0/0,ND
Accompagnants au CTE,222,ND
Personnels de première ligne (PPL),27,ND
Membres des ménages et communautés,90,ND
EDS appuyés (SMSPS),18,ND
