Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,7 092,5 861,"82,6%"
Nord-Kivu,2 184,1 821,"83,4%"
Sud-Kivu,18,18,"100,0%"
Total,9 294,7 700,"82,8%"
