INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"13 (46,4%)",0,0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"50 (37,9)",5 (100%),0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"9 (13,4)",0,0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"31 (18,7)",18 (100%),4 (100%)
Résultats de laboratoire ayant été annoncés,28,0,5
Dont positifs,13,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,8 (100%),0,1 (100%)
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,1,0,16
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,38,11,2
Nb PPL ayant bénéficié d'interventions SMSPS,3,5,23
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,19,25,0
Nbre d'EDS appuyés,3,0,0
