Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès communautaires (Swab+).,Situation du jour (24 h) Décès confirmés intra-CTE,Situation du jour (24 h) Total décès confirmés
Ituri,3 278,1 359,"41,5%",49,13,10,23
Adja,11,1,"9,1%",0,0,0,0
Aru,5,5,"100,0%",0,0,0,0
Ariwara,7,2,"28,6%",0,0,0,0
Aungba,9,5,"55,6%",0,0,0,0
Bambu,60,13,"21,7%",0,0,1,1
Boga,1,1,"100,0%",0,0,0,0
Bunia,905,262,"29,0%",9,2,1,3
Damas,18,8,"44,4%",1,0,0,0
Drodro,11,6,"54,5%",1,0,0,0
Fataki,35,17,"48,6%",0,0,0,0
Gethy,1,0,"0,0%",0,0,0,0
Kambala,2,0,"0,0%",0,0,0,0
Kilo,29,11,"37,9%",0,0,0,0
Komanda,37,27,"73,0%",1,1,1,2
Lita,137,80,"58,4%",5,0,1,1
Logo,9,3,"33,3%",0,0,0,0
Lolwa,7,2,"28,6%",0,0,0,0
Mahagi,4,1,"25,0%",0,0,0,0
Mambasa,10,6,"60,0%",1,0,0,0
Mandima,16,12,"75,0%",0,0,0,0
Mangala,105,66,"62,9%",3,2,0,2
Mongbwalu,550,261,"47,5%",5,2,0,2
Nia-Nia,103,56,"54,4%",2,1,2,3
Nizi,397,192,"48,4%",10,3,2,5
Nyankunde,115,34,"29,6%",0,0,2,2
Rimba,9,4,"44,4%",0,0,0,0
Rwampara,644,260,"40,4%",11,2,0,2
Tchomia,41,24,"58,5%",0,0,0,0
Nord-Kivu,400,262,"65,5%",22,7,4,11
Beni,61,49,"80,3%",4,1,2,3
Butembo,88,67,"76,1%",5,1,1,2
Goma,1,0,"0,0%",0,0,0,0
Kalunguta,6,3,"50,0%",0,0,0,0
Katwa,180,108,"60,0%",12,5,1,6
Kyondo,13,8,"61,5%",0,0,0,0
Mabalako,1,0,"0,0%",0,0,0,0
Masereka,4,0,"0,0%",0,0,0,0
Musienene,41,23,"56,1%",1,0,0,0
Oicha,4,3,"75,0%",0,0,0,0
Vuhovi,1,1,"100,0%",0,0,0,0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%",0,0,0,0
Haut-Uélé,60,30,"50,0%",3,0,2,2
Boma Mangbetu,12,4,"33,3%",0,0,0,0
Isiro,19,9,"47,4%",0,0,0,0
Pawa,12,9,"75,0%",2,0,2,2
Rungu,1,0,"0,0%",0,0,0,0
Wamba,16,8,"50,0%",1,0,0,0
Tshopo,7,5,"71,4%",0,0,0,0
Kabondo,1,1,"100,0%",0,0,0,0
Lubunga,1,0,"0,0%",0,0,0,0
Makiso-Kisangani,3,3,"100,0%",0,0,0,0
Mangobo,1,1,"100,0%",0,0,0,0
Wanie-Rukula,1,0,"0,0%",0,0,0,0
Total,3 748,1 657,"44,2%",74,20,16,36
