DPS,Nouvelles Alertes Reçues Vivants,Nouvelles Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Haut-Uélé,20,4,24,18,3,2,1,21,8
Bas Uélé,39,1,40,16,1,23,0,17,0
Ituri,659,81,740,140,53,280,6,193,126
Nord-Kivu,808,41,849,70,39,719,2,109,56
Sud-Kivu,ND,ND,NA,ND,ND,ND,ND,ND,ND
Tshopo,139,0,139,5,0,134,0,5,0
Total Général,1665,127,1 792,249,96,1158,9,345,190
