Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Report (J-1),175,27,0,202
Nouvelles Alertes,462,696,12,1170
Total Alertes du jour,637,696,12,1345
Alertes investiguées,471,696,12,1179
Taux d'investigation,"73,94%","100,00%","100,0%","87,6%"
Alertes validées Vivantes,118,34,6,158
Alertes validées Décédées,48,22,0,70
Total des cas suspects du jour,166,56,6,228
