Province,Nouveaux cas confirmés(24h),Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées
Ituri,53,5277,2 378,"45,1%","28/36 (77,8 %)"
Nord-Kivu,31,969,638,"65,8%","16/34 (47,0 %)"
Haut-Uélé,2,247,105,"42,5%","6/13 (46,1 %)"
Tshopo,0,22,9,"40,9%","7/23 (30,4 %)"
Sud-Kivu,0,3,1,"33,3%","1/34 (2,9 %)"
Bas Uélé,0,4,3,"75,0%","3/11(27,3%)"
Total,86,6 522,3 134,"48,1%","61/151 (40,4 %)"
