Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,709,141,ND,ND,850
Patients au lit (J-1),570,186,ND,ND,756
Total admissions (24 h),79,34,ND,ND,113
Total admissions,649,220,ND,ND,869
Sorties Décédés,14,2,ND,0,16
Sorties Non-cas,40,34,ND,0,74
Sorties Guéris,12,4,ND,0,16
Sorties Evadés,7,1,ND,0,8
Sorties Transférés à l'HGR,0,0,ND,0,0
Total sorties (24 h),73,41,ND,ND,114
Patients en isolement (fin J),576,179,ND,ND,755
dont confirmés,275,16,ND,ND,291
dont suspects,301,163,ND,ND,464
Taux d'occupation,"81,2%","126,9 %",ND,ND,"88,8%"
