Province,Contacts sous suivi (n),Contacts vus (24h),Taux de suivi (%)
Ituri,3 837,2 032,"53,0"
Nord-Kivu,533,343,"64,4"
Sud-Kivu,181,150,"82,9"
Total,4 551,2 525,"55,5"
