Provinces touchées,Zones de santé avec cas confirmés,Nouveaux Cas confirmés,Nouveaux Décès parmi confirmés,Nouveaux Cas probables,Nouveaux Cas suspects,Nouveaux Contacts listés**,Nouveaux Guéris du jour
Ituri,Bunia,0,0,ND,ND,0,0
Ituri,Rwampara,0,0,ND,ND,0,0
Ituri,Mongbwalu,0,0,ND,ND,0,0
Ituri,Aru,0,0,ND,ND,ND,0
Ituri,Nyankunde,0,0,ND,ND,0,0
Ituri,Nizi,0,0,ND,1,0,0
Ituri,Kilo,0,0,ND,1,ND,0
Ituri,Sous total,0,0,0,2,ND,0
Nord-Kivu,Goma,0,0,ND,ND,ND,0
Nord-Kivu,Butembo,2,0,ND,ND,ND,0
Nord-Kivu,Katwa,0,0,ND,ND,ND,0
Nord-Kivu,Oicha***,1,0,ND,ND,ND,0
Nord-Kivu,Kalunguta***,1,0,ND,ND,ND,0
Nord-Kivu,Sous total,4,0,0,0,0,0
Sud Kivu,Miti Murhesa,0,0,ND,ND,ND,0
Total,"",4,0,0,2,0,0
