Indicateurs et Variables,HGR BUNIA (12 Lits: 08 S et 03 C ),HGR RWAMPARA (18 Lits: 08 C et 10 S),CME (27 Lits : 08 Conf et 19 S ),HGR MUNGBWALU (40 Lits: 12 C et 28 S ),HGR NYAKUNDE,CT BAMBU,CT HEAL AFRICA (Nord-kivu) 19 lits,TOTAL et Tx d'occup
Report,14,8,22,10,39,6,2,101
Nouvelles PPL,0,0,0,1,0,0,0,1
Admissions Autres,2,2,5,1,0,3,0,13
Sorties Guéris,0,0,0,0,0,0,0,0
Sorties Décédés,1,1,1,2,1,0,0,6
Sorties Non Cas,0,0,0,0,0,0,0,0
Sorties Evadés,3,0,0,1,0,0,0,4
Sorties Transférés,0,0,0,0,0,0,0,0
Malades Hospitalisés Total,12,9,26,9,38,9,0,103
Malades Hospitalisés Nvx Cas Confirmés,0,1,0,0,0,0,0,1
Malades Hospitalisés Anciens Cas Confirmés,1,0,0,0,9,1,1,12
Malades Hospitalisés Suspects,11,8,26,9,29,8,1,92
Malades Hospitalisés Suspect < 5 ans,0,0,0,0,0,0,0,0
Taux d'occupation de lit Suspects,"11/12(91,6%)",8/10(80%),26/27(96%),9/28(32%),ND,ND,ND,"70,1%"
Taux d'occupation de lit Confirmés,"1/3 (33,3%)",1/8 (12%),"",0/12 (0%),ND,ND,ND,"8,7%"
