Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri,11763,9324,"79,3 %"
Nord-Kivu*,6352,4882,"76,9 %"
Haut-Uélé**,601,320,"53,2 %"
Sud-Kivu,55,55,"100,0 %"
Tshopo***,115,92,"80,0 %"
Total,18886,14673,"77,7 %"
