Indicateurs,Ituri,Nord-Kivu,Tshopo,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (16/16),60%,100 % (76/76)
Nombre de personnes passées aux PoE/PoC,88 216,54 718,9105,152039
% des voyageurs screenés,"93,6 %","96,8 %",100%,"96,8 %"
% des voyageurs ayant lavé les mains,"91,7 %","96,8 %",100%,"93,7 %"
% des voyageurs sensibilisés,"94,9 %","96,8 %",100%,"95,6 %"
Nombre d'alertes notifiées,5,0,O,5
Nombre d'alertes vivantes validées,5,0,0,5
Nombre de corps sans vie interceptés ce jour,0,0,0,0
Nombre de contacts à problème interceptés ce jour,0,0,0,0
% d'alertes vivantes validées référées au CT/CTE,"20,0 % (1/5)",NA,0,"20,0 % (1/5)"
% des corps sans vie swabés,NA,NA,0,NA
Nombre de résultat positif des cas suspects référés,1,0,0,1
