Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,10 450,7 886,"75,5%"
Nord-Kivu,2 285,2 084,"91,2%"
Sud Kivu*,0,0,NA
Total,12 735,9 970,"78,3%"
