Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,134,208,3,345
Alertes investiguées,111,208,3,322
Taux d'investigation,"82,8%","100,0%","100,0%","93,3%"
Alertes validées,86,30,1,117
