DPS,Nouvelles Alertes Reçues Vivants,Nouvelles Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Haut-Uélé,39,2,41,16,2,5,0,18,7
Bas Uélé,2,0,2,0,0,2,0,0,0
Ituri,688,75,763,166,77,403,1,243,151
Nord-Kivu,685,40,725,40,34,594,34,74,28
Sud-Kivu,7,0,7,2,0,5,0,2,2
Tshopo,116,2,118,6,2,99,0,8,3
Total Général,1537,119,1 656,230,115,1108,35,345,191
