Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,7 103,5 545,"78,1%"
Nord-Kivu,2 184,1 805,"82,6%"
Sud-Kivu,18,18,"100,0%"
Total,9 305,7 368,"79,2%"
