Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri*,11 638,8 781,"75,5%"
Nord-Kivu*,5 667,4 227,"74,6%"
Tshopo,65,43,"66,2%"
Haut-Uélé,458,369,"80,6%"
Sud-Kivu (fin de suivi),0,0,NA
Total,17 863,13 455,"75,3 %"
