Indicateur,Ituri,Nord Kivu,Sud Kivu
Échantillons collectés,132,96,2
Échantillons analysés,132,96,0
Échantillons positifs,50,4,-
Taux de positivité,"37,9%","4,2%",-
Échantillons en cours d'analyse,0,0,2
Échantillons positifs (cas suspects décédés),0,0,0
