Indicateur PoE/PoC,Valeur (24h),Taux
Voyageurs passés par les PoE/PoC,18 153,NA
Voyageurs screenés,17900,"98,6%"
Voyageurs ayant lavé les mains,17192,"98,8%"
Voyageurs sensibilisés,17442,"96,0%"
Contacts listés,1,NA
Alertes remontées,1,"100,0%"
