Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,5 920,4 056,"68,5%"
Nord-Kivu,1 935,1 187,"61,3%"
Sud-Kivu,58,58,"100,0%"
Total,7 913,5 301,"67,0%"
