INDICATEURS CLES,ITURI,SUD-KIVU,NORD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,3 (100%),"5 (45,5 %)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"49 (57,6%)","11 (36,7%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,3 (50%),4 (40%),1 (100%)
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"53 (80,3%)","24 (36,9%)",0
Résultats de laboratoire ayant été annoncés,10,0,3
Dont positifs,3,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,1,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,6,0
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,71,52,0
Nb PPL ayant bénéficié d'interventions SMSPS,35,28,25
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,37,12,0
Nbre d'EDS appuyés,2,0,0
