Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Report (J-1),108,0,0,108
Nouvelles Alertes,349,608,13,970
Total Alertes du jour,457,608,13,1078
Alertes investiguées,150,608,9,767
Taux d'investigation,"31,1%","100,0%","69,2%","71,2%"
Alertes validées Vivantes,105,43,2,150
Alertes validées Décédées,45,18,0,63
Total des cas suspects du jour,150,61,2,213
