DPS,Nouvelles Alertes Reçues Vivants,Nouvelles Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Bas-Uele,ND,ND,ND,ND,ND,ND,ND,ND,ND
Haut-Uélé,5,0,5,5,0,0,0,5,5
Ituri,571,52,623,121,52,410,0,157,146
Nord-Kivu,995,48,1043,103,48,883,0,149,101
Sud-Kivu,8,0,8,1,0,7,0,1,1
Tshopo,ND,ND,0,ND,ND,ND,ND,ND,ND
Total Général,1579,100,1 679,230,100,1300,0,312,253
