Provinces touchées,Zones de santé avec cas confirmés,Nouveaux cas confirmés,Nouveaux décès parmi confirmés,Nouveaux cas probables,Nouveaux cas suspects,Nouveaux contacts listés,Guéris du jour
Ituri,Bunia,0,0,ND,22,43,0
Ituri,Rwampara,0,0,ND,3,0,0
Ituri,Mongbwalu,9,0,ND,ND,0,0
Ituri,Bambu,0,0,ND,ND,ND,0
Ituri,Nyankunde,0,0,ND,ND,0,0
Ituri,Nizi,0,0,ND,0,7,0
Ituri,Kilo,0,0,ND,8,ND,0
Ituri,Sous total,9,0,0,33,50,0
Nord-Kivu,Goma,0,0,ND,ND,ND,0
Nord-Kivu,Butembo,0,0,ND,ND,ND,0
Nord-Kivu,Katwa,1,0,ND,ND,ND,0
Sud Kivu,Miti Murhesa,0,0,ND,ND,ND,0
Sud Kivu,Sous total,0,0,0,0,0,0
Total,"",10,0,0,33,50,0
