Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,4750,2133,"44,9%",34,0,14,14
Ituri Adja,11,1,"9,1%","","","",0
Ituri Aru,7,6,"85,7%","","","",0
Ituri Ariwara,8,2,"25,0%","","","",0
Ituri Aungba,12,5,"41,7%","","","",0
Ituri Bambu,148,29,"19,6%",9,0,"",0
Ituri Boga,2,2,"100,0%","","","",0
Ituri Bunia,1317,411,"31,2%",5,0,"",0
Ituri Damas,27,9,"33,3%","","","",0
Ituri Drodro,13,6,"46,2%","","","",0
Ituri Fataki,73,30,"41,1%","","","",0
Ituri Gethy,5,2,"40,0%","","","",0
Ituri Kambala,2,0,"0,0%","","","",0
Ituri Kilo,32,12,"37,5%","","","",0
Ituri Komanda,61,39,"63,9%","","","",0
Ituri Lita,204,111,"54,4%","","","",0
Ituri Logo,11,5,"45,5%","","","",0
Ituri Lolwa,19,4,"21,1%",1,0,"",0
Ituri Mahagi,4,1,"25,0%","","","",0
Ituri Mambasa,17,7,"41,2%",3,0,"",0
Ituri Mandima,32,19,"59,4%","","","",0
Ituri Mangala,203,109,"53,7%","","","",0
Ituri Mongbwalu,605,284,"46,9%",2,0,"",0
Ituri Nia-Nia,199,108,"54,3%",6,0,"",0
Ituri Nizi,628,252,"40,1%",6,0,"",0
Ituri Nyankunde,124,35,"28,2%",1,0,"",0
Ituri Rimba,10,4,"40,0%","","","",0
Ituri Rwampara,921,335,"36,4%",1,0,"",0
Ituri Tchomia,55,25,"45,5%","","","",0
Ituri A ventiler,NA,280,NA,NA,NA,14,14
Nord-Kivu,753,512,"68,0%",18,9,2,11
Nord-Kivu Beni,118,85,"72,0%","","",1,1
Nord-Kivu Butembo,146,110,"75,3%",6,3,0,3
Nord-Kivu Goma,1,0,"0,0%","","","",0
Nord-Kivu Kalunguta,16,7,"43,8%",1,0,0,0
Nord-Kivu Katwa,360,241,"66,9%",9,4,1,5
Nord-Kivu Kyondo,16,12,"75,0%","","","",0
Nord-Kivu Lubero,1,1,"100,0%","","","",0
Nord-Kivu Mabalako,3,2,"66,7%","","","",0
Nord-Kivu Masereka,7,4,"57,1%","","","",0
Nord-Kivu Musienene,72,43,"59,7%",2,2,0,2
Nord-Kivu Mutwanga,1,1,"100,0%","","","",0
Nord-Kivu Oicha,7,4,"57,1%","","","",0
Nord-Kivu Vuhovi,5,2,"40,0%","","","",0
Haut-Uélé,189,89,"47,1%",5,2,2,4
Haut-Uélé Boma Mangbetu,26,14,"53,8%","","",1,1
Haut-Uélé Gombari,3,1,"33,3%","","","",0
Haut-Uélé Isiro,74,32,"43,2%",4,1,1,2
Haut-Uélé Pawa,20,15,"75,0%","","","",0
Haut-Uélé Rungu,1,0,"0,0%","","","",0
Haut-Uélé Wamba,65,27,"41,5%",1,1,0,1
Tshopo,15,8,"53,3%",0,0,0,0
Tshopo Bafwasende,1,0,"0,0%","","","",0
Tshopo Kabondo,3,1,"33,3%","","","",0
Tshopo Lubunga,1,0,"0,0%","","","",0
Tshopo Makiso-Kisangani,6,4,"66,7%","","","",0
Tshopo Mangobo,2,2,"100,0%","","","",0
Tshopo Tshopo,1,0,"0,0%","","","",""
Tshopo Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Sud-Kivu Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,3,1,"33,3%",0,0,0,0
Bas Uélé Buta,1,1,"100,0%","","","",0
Bas Uélé Viadana,1,0,"0,0%","","","",""
Bas Uélé Ganga,1,0,"0,0%","","","",""
Total,5713,2744,"48,0%",57,11,18,29
