Province,Cas confirmés,Décès (confirmés),Létalité,Zones de santé touchées,Nouveaux cas confirmés(24h)
Ituri,4655,2 088,"44,9%","28/36 (77,8 %)",48
Nord-Kivu,728,498,"68,4%","13/34 (38,2 %)",14
Haut-Uélé,181,84,"46,4%","6/13 (46,1 %)",8
Tshopo,15,8,"53,3%","7/23 (30,4 %)",0
Sud-Kivu,3,1,"33,3%","1/34 (2,9 %)",0
Bas Uélé,2,1,"50,0%","2/11(18,2%)",0
Total,5 584,2 680,"48,0%","57/151 (37,7 %)",70
