Indicateurs,Résultats
Proportion de PoC activés,"27,2% (15/55)"
Nombre des voyageurs passés,24 324
% des voyageurs screenés,"98,2%"
% des voyageurs ayant lavé les mains,"98,3%"
%des voyageurs sensibilisés,"97,1%"
Nombre d’alertes notifiées,3
Nombre d’alertes validées,3
% de résultats disponibles dans 24h,0%
Nombre d’alertes transférées au CT/CTE ou pour EDS,0
Nombre de contacts interceptés ce jour,0
