Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Total
Alertes remontées,166 *,237,6,409
Alertes investiguées (24h),88 *,216,6,310
Taux d'investigation (24h),62 % *,91 %,100 %,"75,8 %"
Alertes validées,141,45,0,186
