Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,5 208,3 397,"65,2%"
Nord-Kivu,1 187,700,"59,0%"
Sud-Kivu,80,74,"92,5%"
Total,6 475,4 171,"64,4%"
