Indicateur,Ituri,Nord-Kivu,Haut-Uélé,Tshopo,Sud-Kivu,Total
Report (J-1),10,38,22,0,ND,70
Nouvelles alertes reçues,514,875,5,71,ND,1 465
Total alertes du jour,524,913,27,71,ND,1 135
Alertes investiguées,367,873,27,24,ND,1 291
Taux d'investigation (24 h),"70,04%","95,62%","100,0%","33,8%",ND,"84,10%"
Alertes validées — vivantes,166,63,27,24,ND,280
Alertes validées — décédées (comm.),56,38,0,0,ND,94
Total cas suspects du jour,222,101,27,24,ND,374
