Indicateurs,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (15/15),100 % (75/75)
Nombre de personnes passées aux PoE/PoC,103643,698 24,173467
% des voyageurs screenés,93%,98 %,"95,5%"
% des voyageurs ayant lavé les mains,92 %,98%,95 %
% des voyageurs sensibilisés,"97,4 %",98 %,"97,7 %"
Nombre d'alertes notifiées,6,0,6
Nombre d'alertes vivantes validées,4,0,4
Nombre de corps sans vie interceptés ce jour,2,0,2
Nombre de contacts à problème interceptés ce jour,0,0,0
% d'alertes vivantes validées référées au CT/CTE,"66,7 %",NA,"66,7 %"
% des corps sans vie swabés,NA,NA,NA
Nombre de résultat positif des cas suspects référés,0,0,0
