ISSUES,HGR Bunia,HGR Rwampara,CME,HGR Mongbwalu,HGR Nyankunde,HGR Bambu,HGR Aru,Total
Report (Nombre de malades au lit à la fin de journée précédente),17,14,10,11,41,5,5,103
Nouvelles Admissions du jour PPL,0,0,0,0,0,1,0,1
Nouvelles Admissions du jour Autres,5,3,7,6,1,4,0,26
Sorties Guéris,0,0,0,0,0,0,0,0
Sorties Décédés,0,2,2,3,0,0,0,7
Sorties Non Cas,0,0,0,0,0,0,0,0
Sorties Evadés,1,0,0,2,2,0,0,5
Sorties Transférés à HGR,0,0,0,0,0,0,0,0
Malades en isolement Total,23,19,19,22,44,10,5,142
Malades en isolement NC confirmés,1,0,0,0,0,0,0,1
Malades en isolement AC confirmés,1,1,1,0,12,0,1,16
Malades en isolement Suspects,19,14,14,12,28,10,4,101
Malades en isolement Suspect Enfant < 5 ans,1,0,0,0,0,0,0,1
