Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (18/18),100 % (9/9),"21,1 % (4/19)","30,3 % (10/33)","72,7 %"
Nombre de personnes passées aux PoE/PoC,98 289,65 338,89 416,ND,ND,253 043
% des voyageurs screenés,"96,5 %","97,3 %","100,0 %",ND,ND,"98,0 %"
% des voyageurs ayant lavé les mains,"96,7 %","97,3 %","100,0 %",ND,ND,"97,6 %"
% des voyageurs sensibilisés,"99,1 %","97,3 %","100,0 %",ND,ND,"98,9 %"
Nombre d'alertes notifiées,4,0,0,ND,ND,4
Nombre d'alertes vivantes validées,2,0,0,ND,ND,2
Corps sans vie interceptés ce jour,1,0,0,ND,ND,1
Contacts à problème interceptés ce jour,0,0,0,ND,ND,0
% d'alertes vivantes validées référées au CT/CTE,0 % (0/2),0,0,ND,ND,0 %
% des corps sans vie swabés,100 % (1/1),0,0,ND,ND,100 % (1/1)
Résultats positifs des cas suspects référés,0,0,0,ND,ND,0
