Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (18/18),100 % (9/9),"21,1 % (4/19)","30,3 % (10/33)","72,7 %"
Nombre de personnes passées aux PoE/PoC,97 733,ND,0,ND,10 417,108 150
% des voyageurs screenés,"96,2 %","97,5 %",0,ND,"100,0 %","96,6 %"
% des voyageurs ayant lavé les mains,"96,2 %",ND,0,ND,"100,0 %","96,6 %"
% des voyageurs sensibilisés,"99,1 %",ND,0,ND,"100,0 %","99,2 %"
Nombre d'alertes notifiées,9,1,0,ND,0,10
Nombre d'alertes vivantes validées,8,0,0,ND,0,8
Corps sans vie interceptés ce jour,1,0,0,ND,0,1
Contacts à problème interceptés ce jour,0,0,0,ND,0,0
% d'alertes vivantes validées référées au CT/CTE,"87,5 % (7/8)",0 % (0/1),0,ND,0,"87,5 % (7/8)"
% des corps sans vie swabés,ND,0,0,ND,0,ND
Résultats positifs des cas suspects référés,0,0,0,ND,0,0
