Indicateur,Ituri,Nord-Kivu,Sud-Kivu,Ensemble
Alertes remontées,137,212,5,354
Alertes investiguées,89,109,3,201
Taux d'investigation,"65,0 %","51,4 %","60,0 %","56,8 %"
Alertes validées,85,17,1,103
