Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri*,10 123,7 466,"73,8%"
Nord-Kivu*,4 111,3 418,"83,1%"
Tshopo,33,30,"90,9%"
Haut-Uélé,258,186,"72,1%"
Sud-Kivu (fin de suivi),0,0,NA
Total,14 525,11 100,"76,4 %"
