Indicateurs,BUNIA HGR,BUNIA SOFEPADI,BUNIA Clibnique Bénedicte,BUNIA RWAOLE,BUNIA CH ELIKYA,BUNIA TOTAL,RWAMPARA HGR,RWAMPARA CME,RWAMPARA CH SALAMA,RWAMPARA CS HOHO,RWAMPARA TOTAL,HGR MONGBWALU,HGR NYANKUNDE,TOTAL GENERAL
"",6,4,0,12,6,28 lits,16,100,10,0,126 Lits,12,11,""
Report,13,4,1,6,4,28,22,0,7,8,37,21,15,101
Nouvelles Admissions PPL,0,0,0,0,0,0,0,2,3,0,5,0,1,6
Nouvelles Admissions Autres,6,0,1,3,2,12,2,6,4,0,12,9,0,33
Nouvelles Admissions Total,6,0,1,3,2,12,2,8,7,0,17,9,1,39
Total en Isolement,19,4,2,9,6,40,24,8,14,8,54,30,16,126
Sorties Guéris,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorties Décédés,2,0,0,1,0,3,2,0,0,0,2,1,0,6
Sorties Non Cas,0,0,0,0,0,0,0,5,8,0,13,0,0,13
Sorties Evadés,1,0,0,0,0,1,0,1,0,0,1,2,0,4
Sorties Transférés à HGR,0,0,0,0,0,0,0,0,0,1,1,0,0,1
