Zones de santé,Suivi journalier Report du 18/05/2026,Suivi journalier Nouveaux contacts le 19/05/2026,Suivi journalier Contact à suivre ce jour,Suivi journalier Contacts vus,Suivi journalier Sorties 21 Jrs,Suivi journalier Devenus Suspects,Taux de suivi,Total non vus,Raison de non vus Simple Absence,Raison de non vus Perdus de vue (≥72 heures),Raison de non vus Jamais vus,Raison de non vus Refus,Raison de non vus Déplacés,Raison de non vus Reco n'est pas passé,Reste à suivre le jour suivant
Bunia,127,76,203,3,0,1,"1,5%",200,0,0,0,0,0,200,203
Rwampara,120,215,335,78,0,0,23%,257,0,0,0,0,0,257,335
Nyankunde,133,0,133,0,0,0,0%,133,0,0,0,0,0,133,133
Mongbwalu,161,15,176,0,0,0,0%,176,0,0,0,0,0,176,176
Total,541,306,847,81,0,1,"9,6%",766,0,0,0,0,0,766,847
