Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,821,141,68,20,1 050
Patients au lit (J-1),518,190,22,1,731
Total admissions (24 h),73,47,ND,1,121
Total admissions,844,368,47,2,1 261
Sorties Décédés,14,4,ND,0,18
Sorties Non-cas,38,33,ND,0,71
Sorties Guéris,13,2,ND,0,15
Sorties Evadés,1,1,ND,0,2
Sorties Transférés à l'HGR,0,0,ND,0,0
Total sorties (24 h),66,40,ND,0,106
Patients en isolement (fin J),525,196,37,2,760
Patients en isolement (fin J) dont confirmés,304,27,16,1,348
Patients en isolement (fin J) dont suspects,221,169,21,1,412
Taux d'occupation,"63,9%","139,0%","54,4%","10,0%","72,4%"
