Zone de santé,Cas confirmés,Guéris,En hospitalisation,Décès
Bunia,35,16,5,14
Rwampara,32,23,2,7
Mongbwalu,16,5,3,8
Nyankunde,14,11,1,2
Nia-Nia,5,0,5,0
Nizi,3,0,0,3
Mangala,3,1,1,1
"Autres (Kilo, Bambu, Lita)",6,2,3,1
"Total — létalité 31,6 %",114,58,20,36
