Health Zone,Alert Report 18/05/2026,New Contacts 19/05/2026,Contacts to Follow Today,Contacts Followed Today,Exits,Suspects,% Follow-up,Total Not Seen,Lost to Follow-up,Refusals,Displaced,Seen,Not Seen Yet,Rest to be Seen Today
Bunia,127,76,203,3,0,1,1.5%,200,0,0,0,0,200,203
Rwampara,120,215,335,78,0,0,23%,257,0,0,0,0,257,335
Nyankunde,133,0,133,0,0,0,0%,133,0,0,0,0,133,133
Mongbwalu,161,15,176,0,0,0,0%,176,0,0,0,0,176,176
**Total**,**541**,**306**,**847**,**81**,**0**,**1**,**9.6%**,**766**,**0**,**0**,**0**,**0**,**766**,**847**
