Indicateurs,Résultats
Proportion de PoC activés,"60,0% (27/45)"
Nombre des voyageurs passés,47 369
% des voyageurs screenés,"94,0%"
% des voyageurs ayant lavé les mains,"92,6%"
% des voyageurs sensibilisés,"94,0%"
Nombre d’alertes notifiées,7
% d’alertes investiguées ou corps sans vie swabé dans 24h,"0,0%"
Nombre d'alertes validées,7
% de résultats disponibles dans 24h,0%
Nombre d’alertes transférées au CT/CTE ou pour EDS,0
Nombre de contacts interceptés ce jour,0
