DPS,Nouvelles Alertes Reçues Vivants,Nouvelles Alertes Reçues Décédés,Total alertes,Alertes vérifiées et validées (cas suspect) Vivants,Alertes vérifiées et validées (cas suspect) Décédés,Alertes vérifiées et invalidées (non-cas suspect) Vivants,Alertes vérifiées et invalidées (non-cas suspect) Décédés,Nombre de suspects investigués,Nombre de suspects investigués et transférés au CT/CTE (du jour)
Haut-Uélé,17,2,19,12,2,0,0,14,12
Bas Uélé,13,1,14,1,1,12,0,2,0
Ituri,680,40,720,106,33,325,6,139,90
Nord-Kivu,899,52,951,105,52,637,0,157,77
Sud-Kivu,0,0,0,0,0,0,0,0,0
Tshopo,126,0,126,8,0,116,0,8,2
Total Général,1735,95,1 830,232,88,1090,6,320,181
