Province,Contacts sous suivi (n),Contacts vus (n),Taux de suivi (%)
Ituri,5 155,3 961,"76,8%"
Nord-Kivu,1 821,1 047,"57,5%"
Sud-Kivu,118,118,"100,0%"
Total,7 094,5 126,"72,3%"
