Province,Nombre de nouveaux contacts n,Nombre de nouveaux contacts %,Nombre de contacts devenus suspects n,Nombre de contacts devenus suspects %,Nombre de contacts sorties au 21 jours n,Nombre de contacts sorties au 21 jours %
Ituri,144,"42,9%",4,"57,1%",0,"0,0%"
Nord-Kivu,192,"57,1%",3,"42,9%",422,"100,0%"
Total,336,"100,0%",7,"100,0%",422,"100,0%"
