Province,Contacts sous suivi,Contacts vus,Taux de suivi
Ituri*,10 901,8 245,"75,6%"
Nord-Kivu*,4 447,3 787,"85,2%"
Tshopo,ND,ND,ND
Haut-Uélé,150,90,"60,0%"
Sud-Kivu (fin de suivi),0,0,NA
Total,15 498,12 122,"78,2 %"
