Indicateurs clés,29/05/2026,Total
Échantillons reçus,70,758*
Ré prélèvements (contrôle),0,8 dont 6 est négatifs
Nbre d’échantillons analysés,70,ND
Nbre des cas positifs,54,220
Taux de positivité,"77,1%",NA
