Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,87 %,100 %,"55,5 %",94 %,"55,0 %",ND,"84,6 %"
% des PoE/PoC stratégiques fonctionnels,"9,1 %",NA,NA,NA,"55,0 %",NA,"31,8 %"
Nombre de personnes passées aux PoE/PoC,128 777,89 946,8 321,15 695,10 869,4 996,258 604
% des voyageurs screenés,"98,0 %","98,3 %","98,3 %","99,0 %","97,9 %","99,0 %","98,2 %"
% des voyageurs ayant lavé les mains,"98,0 %","98,3 %","98,3 %","99,0 %","98,1 %",ND,"98,0 %"
% des voyageurs sensibilisés,"99,0 %","98,3 %",100 %,100 %,"98,1 %",ND,"99,0 %"
Nombre d’alertes notifiées,1,3,0,0,0,5,9
Nombre d’alertes vivantes validées (cas suspects),1,1,0,0,0,0,2
Nombre de corps sans vie interceptés ce jour,0,2,0,0,0,0,2
% des cas suspects transférés au CT/CTE,100 %,100 %,NA,NA,NA,NA,100 %
% des corps sans vie swabés/sécurisés,NA,100 %,NA,NA,NA,NA,100 %
% des cas suspects investigués dans 24 h,100 %,100 %,NA,NA,NA,0%,100 %
