Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5538,2524,"45,6%",30,11,12,23
Ituri Adja,11,1,"9,1%","","","",0
Ituri Aru,8,6,"75,0%","","","",0
Ituri Ariwara,8,2,"25,0%","","","",0
Ituri Aungba,12,5,"41,7%","","","",0
Ituri Bambu,178,39,"21,9%",1,0,"",0
Ituri Boga,2,2,"100,0%","","","",0
Ituri Bunia,1538,485,"31,5%",10,8,"",8
Ituri Damas,36,9,"25,0%",3,0,"",0
Ituri Drodro,15,7,"46,7%","","","",0
Ituri Fataki,78,30,"38,5%","","","",0
Ituri Gethy,7,3,"42,9%","","","",0
Ituri Kambala,2,0,"0,0%","","","",0
Ituri Kilo,33,12,"36,4%","","","",0
Ituri Komanda,123,82,"66,7%","","","",0
Ituri Lita,256,125,"48,8%",5,2,"",2
Ituri Logo,13,5,"38,5%","","","",0
Ituri Lolwa,31,8,"25,8%","","","",0
Ituri Mahagi,4,1,"25,0%","","","",0
Ituri Mambasa,17,7,"41,2%","","","",0
Ituri Mandima,44,24,"54,5%","","","",0
Ituri Mangala,310,146,"47,1%",1,0,"",0
Ituri Mongbwalu,649,295,"45,5%",5,1,"",1
Ituri Nia-Nia,229,116,"50,7%","","","",0
Ituri Nizi,727,273,"37,6%",1,0,"",0
Ituri Nyankunde,125,36,"28,8%","","","",0
Ituri Rimba,11,4,"36,4%","","","",0
Ituri Rwampara,1006,349,"34,7%",2,0,"",0
Ituri Tchomia,65,25,"38,5%",2,0,"",0
Ituri A ventiler *,NA,427,NA,"","",12,12
Nord-Kivu,1182,746,"63,1%",43,19,2,21
Nord-Kivu Beni,199,149,"74,9%",4,3,1,4
Nord-Kivu Biena,15,6,"40,0%",5,2,"",2
Nord-Kivu Butembo,225,150,"66,7%",5,1,"",1
Nord-Kivu Goma,1,0,"0,0%","","","",0
Nord-Kivu Kalunguta,24,11,"45,8%",1,0,"",0
Nord-Kivu Katwa,499,320,"64,1%",13,10,1,11
Nord-Kivu Kayna,1,0,"0,0%","","","",""
Nord-Kivu Kyondo,29,17,"58,6%",3,0,"",0
Nord-Kivu Lubero,10,4,"40,0%","","","",0
Nord-Kivu Mabalako,18,8,"44,4%","","","",0
Nord-Kivu Manguredjipa,8,3,"37,5%",4,0,"",0
Nord-Kivu Masereka,15,6,"40,0%","","","",0
Nord-Kivu Musienene,110,58,"52,7%",7,3,"",3
Nord-Kivu Mutwanga,3,2,"66,7%","","","",0
Nord-Kivu Oicha,11,7,"63,6%",1,0,"",0
Nord-Kivu Vuhovi,14,5,"35,7%","","","",0
Haut-Uélé,270,114,"42,2%",6,0,4,4
Haut-Uélé Boma Mangbetu,29,14,"48,3%","","","",0
Haut-Uélé Gombari,3,1,"33,3%","","","",0
Haut-Uélé Isiro,95,40,"42,1%",3,0,2,2
Haut-Uélé Pawa,52,25,"48,1%","","","",0
Haut-Uélé Rungu,2,1,"50,0%","","","",0
Haut-Uélé Wamba,89,33,"37,1%",3,0,2,2
Tshopo,24,9,"37,5%",0,0,0,0
Tshopo Bafwasende,4,0,"0,0%","","","",0
Tshopo Kabondo,4,1,"25,0%","","","",0
Tshopo Lubunga,1,0,"0,0%","","","",0
Tshopo Makiso-Kisangani,10,5,"50,0%","","","",0
Tshopo Mangobo,3,2,"66,7%","","","",0
Tshopo Tshopo,1,0,"0,0%","","","",0
Tshopo Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Sud-Kivu Miti-Murhesa,3,1,"33,3%","","","",0
Bas-Uélé,4,3,"75,0%",0,0,0,0
Bas-Uélé Buta,1,1,"100,00%","","","",0
Bas-Uélé Viadana,1,0,"0,00%","","","",0
Bas-Uélé Ganga,2,2,"100,00%","","","",0
Sud Ubangi,1,1,"100,0%",1,1,0,1
Sud Ubangi Bulu,1,1,"100,0%",1,1,0,1
Total,7022,3398,"48,4%",80,31,18,49
